name,owner,description,url,createdAt,users,watchers,stars,forks,projects,issues,pullRequests,diskUsage,license,languages,primaryLanguage,environments,submodules,topics,extra
learn-javascript,sumn2u,A book that teaches JavaScript,https://github.com/sumn2u/learn-javascript,2023-01-01,2,11,790,163,0,79,123,38188,Apache-2.0,"HTML,Dockerfile",HTML,"Preview,Production",,"js,learning,javascript,open-source,programming-language,collaborate,github,student-vscode,beginner,learn-javascript",
JavaScriptCodingChallenges,jahidulislamzim,Hello JavaScript code newbie! In this repository I'm proposing you a series of coding challenges that will help you practice the basic language constructs and algorithms.,https://github.com/jahidulislamzim/JavaScriptCodingChallenges,2023-01-01,1,11,225,47,0,0,0,153,,,,,,"javascript,js-problem-solving,problem-solving,problemsolving,programming,coding-challenge,coding-challenges,js,coding,coding-test",
html.css.javascript-myfirststyle,Git-Leon,,https://github.com/Git-Leon/html.css.javascript-myfirststyle,2023-01-01,1,1,0,7,0,0,3,1650,MPL-2.0,"CSS,HTML,JavaScript",JavaScript,,,,
JavaScript,SenaYcdl,,https://github.com/SenaYcdl/JavaScript,2023-01-01,1,1,2,0,0,0,0,43,,"HTML,JavaScript",HTML,,,,
javascriptInterviewquestion,prajwalzingare,This repo contains all important question which helps me and help you also clearing basic of javascript and preparing for interview also.,https://github.com/prajwalzingare/javascriptInterviewquestion,2023-01-01,1,1,3,0,0,0,0,54,,JavaScript,JavaScript,,,javascript,
random-css-grid-composition-javascript,crimson-projects,Random CSS Grid Composition with JavaScript | Crimson,https://github.com/crimson-projects/random-css-grid-composition-javascript,2023-01-01,2,0,7,0,0,0,0,1143,,"HTML,JavaScript",JavaScript,,,,
Little-Lemon-Website,aprilschen,Dynamic Website using table-booking API made with React and Django,https://github.com/aprilschen/Little-Lemon-Website,2023-01-01,1,2,16,4,0,0,0,15630,,"HTML,JavaScript,CSS,Python",JavaScript,github-pages,,"react-router,django,javascript,mysql,react",
Namaste-React,Sukanya3096,Repository for namaste react course assignments.,https://github.com/Sukanya3096/Namaste-React,2023-01-01,1,2,8,4,0,0,0,23709,,"JavaScript,CSS,HTML",JavaScript,,,"javascript,react,react-course,react-theory",
expressjs-javascript-pwa,miguelamello,"This application aims to use the concepts of Progressive Web Application, among which allow the application to remain available and interactive for the end user, even in the absence of an internet connection. It also allows information modified by the user during the absence of an internet connection to be automatically saved to remote database.",https://github.com/miguelamello/expressjs-javascript-pwa,2023-01-01,1,2,3,0,0,0,0,44566,,"JavaScript,CSS,HTML,Shell",JavaScript,,,"express-js,javascript,progressive-web-app,responsive-web-design,scss,webpack",
Learn-JavaScript,AzharAli-github,"I have currently created a series for those who want learn JavaScript for Free, I will be uploading all the files here so anyone can learn from it.",https://github.com/AzharAli-github/Learn-JavaScript,2023-01-01,1,1,3,0,0,0,53,476,,"HTML,JavaScript,CSS",JavaScript,Share Your Experience,,"arrays-js,arrow-functions,classes-in-javascript,es5-javascript,es6-javascript,es7-javascript,es8-async-await,eslint,functions-javascript,javascript",
javascript-final-assigment,gavanwp,,https://github.com/gavanwp/javascript-final-assigment,2023-01-01,1,1,3,0,0,0,0,1748,,"HTML,JavaScript,CSS",HTML,,,,
Pluwar,liplum,A Pokémon-like game powered by Flutter with a Javascript backend.,https://github.com/liplum/Pluwar,2023-01-01,2,1,5,2,0,0,1,480,,"Kotlin,Swift,Objective-C,Dart,CMake,C++,C,HTML,Python,JavaScript",Dart,,,,
drag-elements-with-javascript,joan-ramirez,drag elements in the DOM dynamically with javascript,https://github.com/joan-ramirez/drag-elements-with-javascript,2023-01-01,1,1,3,0,0,0,0,1148,,"HTML,JavaScript,CSS",JavaScript,,,,
JavaScript,NidaYucedal,,https://github.com/NidaYucedal/JavaScript,2023-01-01,1,1,1,0,0,0,0,731,,"HTML,JavaScript,CSS,SCSS",HTML,,,,
javascript,danielsmartins,Curso javascript freecodecamp,https://github.com/danielsmartins/javascript,2023-01-01,1,1,0,0,0,0,0,0,MIT,,,,,,
javascript,OsundeWatson,,https://github.com/OsundeWatson/javascript,2023-01-01,1,1,0,0,0,0,0,0,,,,,,,
javascript,Alvinjosepulickan,,https://github.com/Alvinjosepulickan/javascript,2023-01-01,1,1,0,0,0,0,0,2765965,,HTML,HTML,,,,
JavaScript,Grizz0o0,,https://github.com/Grizz0o0/JavaScript,2023-01-01,1,1,0,0,0,0,0,82,,"CSS,HTML,JavaScript",HTML,github-pages,,,
javascript,MuNu1906,1st javascript assignment,https://github.com/MuNu1906/javascript,2023-01-01,1,1,0,0,0,0,0,0,,JavaScript,JavaScript,,,,
Javascript,riz1pro,,https://github.com/riz1pro/Javascript,2023-01-01,1,1,0,0,0,0,0,4279,,"CSS,JavaScript,HTML",HTML,,,,
JavaScript,fabrizia2,Personal projects on JavaScript,https://github.com/fabrizia2/JavaScript,2023-01-01,1,1,0,0,0,0,0,1,,JavaScript,JavaScript,,,,
javascript,Omarkandil-dev,,https://github.com/Omarkandil-dev/javascript,2023-01-01,1,1,0,0,0,0,0,9,,"HTML,CSS,JavaScript",CSS,,,,
Javascript,Ismailirfan,this is my repositery on javascript,https://github.com/Ismailirfan/Javascript,2023-01-01,1,1,0,0,0,0,0,119,,"HTML,Hack",HTML,,,,
Javascript,mishuk09,,https://github.com/mishuk09/Javascript,2023-01-01,1,1,0,0,0,0,0,1441,,"JavaScript,HTML,CSS",HTML,,,,
JavaScript,prashantexe,Repo for Javascript Programs,https://github.com/prashantexe/JavaScript,2023-01-01,1,1,1,0,0,0,0,6,,JavaScript,JavaScript,,,,
