name,owner,description,url,createdAt,users,watchers,stars,forks,projects,issues,pullRequests,diskUsage,license,languages,primaryLanguage,environments,submodules,topics,extra,isApp,commits,popularity
ember.js,emberjs,Ember.js - A JavaScript framework for creating ambitious web applications,https://github.com/emberjs/ember.js,2011-05-25,30,855,22434,4369,0,6690,10268,80422,MIT,"JavaScript,HTML,TypeScript,Handlebars",JavaScript,,,"ember,javascript,javascript-framework,hacktoberfest",,True,22418.0,105458627
cesium,CesiumGS,An open-source JavaScript library for world-class 3D globes and maps :earth_americas:,https://github.com/CesiumGS/cesium,2012-03-02,18,468,11505,3340,0,5656,6067,684572,Apache-2.0,"CSS,JavaScript,HTML,GLSL,TypeScript,Handlebars,Shell,Python",JavaScript,,,"3d,geospatial,gis,3d-tiles,cesium,3d-globe,gltf,czml,webgl",,True,39938.0,36823334
meteor,meteor,"Meteor, the JavaScript App Platform",https://github.com/meteor/meteor,2012-01-19,14,1566,43974,5429,0,8978,3759,123642,NOASSERTION,"HTML,JavaScript,CSS,Shell,CoffeeScript,PowerShell,Batchfile,Ruby,Java,TypeScript",JavaScript,"branch,commit,production,pull request",packages/non-core/blaze,"javascript,meteor,mongodb,build-system,npm,framework,zero-configuration,reactive-programming,nodejs,realtime",,True,34583.0,14179484
BGOONZ_BLOG_2.0,bgoonz,The new home of my blog/resource sharing website. Uses graphql to query markdown files for content that is then fed into templated react components. ,https://github.com/bgoonz/BGOONZ_BLOG_2.0,2021-05-12,3,2,22,51,0,84,3022,2129920,MIT,"JavaScript,Makefile,Shell,CSS,SCSS",JavaScript,"github-pages,Preview,Preview – bgoonz-blog,Preview – bgoonz-blog-2-0-idk,Preview – bgoonz-blog-2-00,Production,Production – bgoonz-blog,Production – bgoonz-blog-2-0-idk,Production – bgoonz-blog-2-00,Ssh",,"jamstack,ssg,headless,static,gatsby,git,javascript,react,reactjs,python3",,True,14253.0,9132557
travis-web,travis-ci,The Ember web client for Travis CI,https://github.com/travis-ci/travis-web,2012-06-17,15,44,608,338,0,0,2563,110073,MIT,"Ruby,HTML,JavaScript,Shell,Dockerfile,Makefile,SCSS,Handlebars,Procfile",JavaScript,"com-production,com-staging,org-production,org-staging,production,staging,travis-pro-web-production,travis-web-production,travis-web-staging",,"ember,javascript,travis-ci",,True,6040.0,6569915
lisk-mobile,LiskHQ,📱 Lisk graphical user interface for mobile,https://github.com/LiskHQ/lisk-mobile,2018-04-26,15,27,102,33,0,1171,989,31863,GPL-3.0,"JavaScript,Java,Objective-C,Swift,C,Ruby,Shell,Objective-C++",JavaScript,,,"javascript,react-native,lisk,ui,mobile,blockchain,blockchain-wallet",,True,5761.0,978256
cordova-android,apache,Apache Cordova Android,https://github.com/apache/cordova-android,2012-11-28,30,284,3565,1537,0,788,882,38268,Apache-2.0,"JavaScript,Batchfile,Java,CSS,HTML",JavaScript,,,"cordova,java,nodejs,javascript,mobile,cordova-platform,android,hacktoberfest",,True,4083.0,783026
nw.js,nwjs,Call all Node.js modules directly from DOM/WebWorker and enable a new way of writing applications with all Web technologies.,https://github.com/nwjs/nw.js,2012-01-04,6,1580,40021,3976,0,7274,838,129223,MIT,"C++,JavaScript,Objective-C++,Objective-C,C,HTML,Python,Smarty,CSS,Shell",JavaScript,,,"web-application-framework,javascript,desktop,node-webkit,nwjs,nodejs",,True,5102.0,746241
cordova-ios,apache,Apache Cordova iOS,https://github.com/apache/cordova-ios,2012-11-28,28,188,2134,998,0,660,713,32178,Apache-2.0,"C,Objective-C,JavaScript,Python,CSS,HTML,Shell,Ruby,Swift,Mathematica",JavaScript,,,"cordova,objective-c,nodejs,javascript,mobile,cordova-platform,ios,hacktoberfest",,True,3955.0,511501
bingo,r-40021,A bingo machine which saves the history and the settings automatically.,https://github.com/r-40021/bingo,2021-04-12,1,1,2,0,0,6,562,28350,MIT,"JavaScript,CSS,Dockerfile",JavaScript,github-pages,,"bingo,javascript,react,webapp,pwa,nextjs",,True,1025.0,315846
grunt,gruntjs,Grunt: The JavaScript Task Runner,https://github.com/gruntjs/grunt,2011-09-21,8,486,12241,1596,0,1256,498,2781,NOASSERTION,JavaScript,JavaScript,,,hacktoberfest,,True,1531.0,261841
copenhagenjs.dk,copenhagenjs,Website for CopenhagenJS - A monthly javascript meetup group,https://github.com/copenhagenjs/copenhagenjs.dk,2011-07-20,4,3,25,16,0,84,489,6488,,"JavaScript,CSS,HTML,Dockerfile,Shell,TypeScript,Starlark",JavaScript,github-pages,,"javascript,community,meetup",,True,1427.0,239162
xmpp.js,xmppjs,XMPP for JavaScript,https://github.com/xmppjs/xmpp.js,2010-05-26,6,85,2161,421,0,498,455,6639,ISC,"JavaScript,Lua,Makefile,Shell",JavaScript,,,"xmpp,javascript,client,component,nodejs,browser,react-native,node,chat,real-time",,True,2495.0,209607
cmv-app,cmv,CMV - The Configurable Map Viewer - A community supported open source mapping framework built with the Esri JavaScript API and the Dojo Toolkit,https://github.com/cmv/cmv-app,2013-02-19,5,103,323,280,0,552,453,2401,MIT,"JavaScript,CSS,HTML",JavaScript,github-pages,,"cmv,esri-api,esri-javascript-api,esri-js,dojo,dojo-widgets,widgets,arcgis-api,arcgis-js,arcgis-js-api",,True,1425.0,205812
connect,senchalabs,Connect is a middleware layer for Node.js,https://github.com/senchalabs/connect,2010-05-26,3,312,9753,1148,0,703,431,5327,MIT,JavaScript,JavaScript,,,"javascript,nodejs",,True,3635.0,196662
traccar-web,traccar,Traccar GPS Tracking System,https://github.com/traccar/traccar-web,2012-11-02,3,106,730,1024,0,812,400,8499,GPL-3.0,"CSS,JavaScript,HTML,Shell,Python",JavaScript,,,"traccar,gps,javascript,gps-tracking,hacktoberfest",,True,2214.0,161754
social-platform-donut-frontend,codeuino,This is an Open Source social Platform where people can interact with Open Source expertise around the globe and work on different projects,https://github.com/codeuino/social-platform-donut-frontend,2018-05-29,31,16,206,217,0,315,361,129926,,"JavaScript,HTML,CSS,Shell,SCSS",JavaScript,github-pages,,"socialnetwork,nodejs,nodejs-framework,mongodb,open,open-source,web-framework,javascript,express-js,html-css",,True,592.0,130744
amazon-chime-sdk,aws-samples,"This repository contains samples intended to demonstrate different use cases for the Amazon Chime SDK (JavaScript, iOS, Android, React, Messaging and Telephony)",https://github.com/aws-samples/amazon-chime-sdk,2021-04-13,18,15,97,126,0,54,346,20049,MIT-0,"HTML,CSS,JavaScript,Swift,TypeScript,Kotlin,Ruby,Shell,Dockerfile,Python",JavaScript,,amazon-chime-sdk-component-library-react,,,True,186.0,119939
smartlook.github.io,smartlook,Smartlook API Docs.,https://github.com/smartlook/smartlook.github.io,2018-01-21,27,8,8,7,0,4,329,74188,,JavaScript,JavaScript,github-pages,,"docs,api,javascript,developers,markdown,jekyll,liquid,smartlook",,True,611.0,108256
ot-ui-apps,opentargets,Open Targets Platform web applications,https://github.com/opentargets/ot-ui-apps,2022-04-11,10,6,4,9,0,2,325,13809,Apache-2.0,"Dockerfile,JavaScript,HTML,SCSS,CSS,TypeScript,Shell",JavaScript,,,"embl-ebi,european-bioinformatics-institute,graphql,javascript,reactjs,turborepo,vitejs,webapp",,True,526.0,105638
atlas,agrc,UGRC's template for esri JavaScript mapping applications.,https://github.com/agrc/atlas,2012-12-19,8,8,38,16,0,114,318,5817,MIT,"HTML,JavaScript,CSS",JavaScript,"dev,prod",,"boilerplate-application,javascript,boilerplate,esri-javascript-api,reactjs,esri-api,utah,government,government-app,gis",,True,731.0,101178
GTAS-UI,US-CBP,New GTAS user interface written in React,https://github.com/US-CBP/GTAS-UI,2020-06-05,8,7,4,8,0,551,315,41517,NOASSERTION,"HTML,CSS,JavaScript,SCSS,Shell",JavaScript,,,"react,javascript,bootstrap",,True,1593.0,99237
eslint-config,bamdadsabbagh,Bamdad Sabbagh's ESLint config,https://github.com/bamdadsabbagh/eslint-config,2020-05-21,1,1,2,0,0,1,299,1360,MIT,JavaScript,JavaScript,,,"eslint,npm,javascript,github-actions",,True,826.0,89403
