name,owner,description,url,createdAt,users,watchers,stars,forks,projects,issues,pullRequests,diskUsage,license,languages,primaryLanguage,environments,submodules,topics,extra,isApp,commits,popularity
google-chat-samples,googleworkspace,Chat Bot Samples for Google Chat.,https://github.com/googleworkspace/google-chat-samples,2018-02-07,7,38,436,254,0,43,221,1199,Apache-2.0,"Java,HTML,Python,JavaScript,Shell,GLSL,Gosu",JavaScript,,,"bot,cloud-functions,samples,python,javascript,java,nodejs,node,node-js,apps-script",,True,227.0,49531
Instanssi.org,Instanssi,Website source,https://github.com/Instanssi/Instanssi.org,2012-01-04,10,3,7,7,0,59,209,45234,MIT,"Python,HTML,CSS,JavaScript,Shell,SCSS",JavaScript,,,"instanssi,javascript,html,django,python",,True,3191.0,43695
h4i-recruitment,hack4impact-uiuc,H4I recruitment platform,https://github.com/hack4impact-uiuc/h4i-recruitment,2018-04-04,33,10,15,3,0,203,208,1573,,"JavaScript,CSS,Dockerfile,Shell,Python",JavaScript,"Preview,production",,"hack4impact,recruitment-platform,javascript,recruitment",,True,185.0,43282
parisjs-website,parisjs,Paris.JS website,https://github.com/parisjs/parisjs-website,2010-11-01,10,12,50,45,0,61,200,4755,,"CSS,JavaScript",JavaScript,"github-pages,Preview,Production",,"javascript,meetup,paris,talks,hacktoberfest",,True,831.0,40095
io,Tradeshift,Tradeshift App Messaging Library,https://github.com/Tradeshift/io,2017-12-15,7,9,3,9,0,12,199,2271,NOASSERTION,"JavaScript,HTML",JavaScript,,,"tradeshift,javascript,messaging-library,api,api-client,api-server,docs,npm-module",,True,163.0,39613
hw-app-iota.js,IOTA-Ledger,IOTA Ledger Nano S / Blue JavaScript APIs for Node.js and browsers ,https://github.com/IOTA-Ledger/hw-app-iota.js,2018-04-14,4,4,4,5,0,1,194,1122,Apache-2.0,JavaScript,JavaScript,,,,,True,280.0,37645
threejs-audio-visualizer-tree,iondrimba,:christmas_tree: Christmas Lab - Dancing Tree,https://github.com/iondrimba/threejs-audio-visualizer-tree,2017-12-12,1,3,9,1,0,1,185,14435,MIT,"JavaScript,HTML,SCSS",JavaScript,github-pages,,"webgl,threejs,christmas,audio-visualizer,webaudio,javascript,interactive-visualizations,audio,visualization,xmas",,True,207.0,34235
2018.1-Dulce_App,Dulce-Work-Schedule,Dulce App é um aplicativo desenvolvido em react-native para auxiliar a organização de escalas de funcionários da área da saúde. ,https://github.com/Dulce-Work-Schedule/2018.1-Dulce_App,2018-03-09,12,21,20,13,0,327,183,54007,MIT,"JavaScript,Python,Java,Objective-C,Shell,Ruby,Dockerfile",JavaScript,github-pages,,"react-native,native-javascript,reactjs,javascript,hospital,sus,hospital-management,health,hospital-information-management,government-data",,True,1295.0,33522
sjcl,bitwiseshiftleft,Stanford Javascript Crypto Library,https://github.com/bitwiseshiftleft/sjcl,2010-05-26,2,232,7128,1270,0,283,152,44921,NOASSERTION,"HTML,JavaScript,CSS,Shell,Perl,Makefile",JavaScript,github-pages,,,,True,472.0,31502
Deer,abahmed,":pencil2:A modern, fast, beautiful note taking app, built on Electron and React",https://github.com/abahmed/Deer,2017-11-18,5,22,312,85,0,120,175,7585,MIT,"JavaScript,HTML,CSS",JavaScript,,,"note-taking,linux,windows,macos,js,electron,react,notes,redux,notes-app",,True,169.0,31022
