name,owner,description,url,createdAt,users,watchers,stars,forks,projects,issues,pullRequests,diskUsage,license,languages,primaryLanguage,environments,submodules,topics,extra,isApp,commits,popularity
github-startz-angularjs-webpack,vitaliiburlaka,✨ GitHub Starz ✨ - AngularJS ES6 demo app that utilizes the components architecture and built with Webpack,https://github.com/vitaliiburlaka/github-startz-angularjs-webpack,2018-03-06,1,1,4,0,0,0,10,807,,"JavaScript,HTML,SCSS",JavaScript,,,"javascript,angularjs,components,webpack,seed,demo-app,es6,babel",,True,33.0,104
DevSwissKnife,mohammedrafathz,"Dev Swiss Knife is a web app with essential development tools that boost developer productivity and ease many daily tasks. We’re trying to bring different features like image compressing, HTML, CSS & JS minification, beatification, XML and JSON formatting, PDF manipulation, colour selection, text recognition, manipulation tools and  a few other unified features into one web app. Developers can scroll through or search tools and use any  device according to their needs in one place instead of jumping across multiple tools or platforms to do simple  or specific tasks.",https://github.com/mohammedrafathz/DevSwissKnife,2022-05-22,7,3,2,2,0,21,10,1982,,"JavaScript,CSS,EJS,HTML,Dockerfile",JavaScript,"github-pages,production",,"html,javascript,react",,True,55.0,104
Course_React_Code,mjesusoj,🧙‍♂️ All Code Of React Course of Udemy | Upgrade 07-heroes-app to react-router v6 🚀 (All Code on master branch),https://github.com/mjesusoj/Course_React_Code,2021-04-15,1,1,3,0,0,3,10,15401,GPL-3.0,"HTML,JavaScript",JavaScript,,,"javascript,react,react-router,react-router-v6,reactjs",,True,111.0,103
ssense-project,Rakesh313777,"E-commerce website that features a mix of established and emerging luxury brands across mens , womens , kids wear and everything else.",https://github.com/Rakesh313777/ssense-project,2022-05-08,6,1,2,1,0,0,10,44,,"CSS,HTML,JavaScript",JavaScript,,,"css,html,javascript",,True,23.0,103
keeporsweep,keeporsweep,☁️🔀🗑️ Randomly declutter your Nextcloud!,https://github.com/keeporsweep/keeporsweep,2018-03-25,6,2,17,5,0,22,9,1276,AGPL-3.0,"Makefile,PHP,CSS,JavaScript,Hack",JavaScript,,,"nextcloud,nextcloud-app,random,declutter,filter,swipe,minimalist,php,vue,cleanup",,True,75.0,103
NodeJs-CalculateDistanceOfPoints,Hefezopf,Calculate Distance of Points with NodeJs,https://github.com/Hefezopf/NodeJs-CalculateDistanceOfPoints,2020-05-14,1,1,2,1,0,0,10,93,,JavaScript,JavaScript,aqueous-harbor-42932,,"nodejs,javascript",,True,41.0,103
Cineflex,GabrielaTiago,"A movie ticket purchasing system that allows users to choose a movie, time and available seats, generating a ticket with the user's choices.",https://github.com/GabrielaTiago/Cineflex,2022-05-18,1,1,2,0,0,0,10,16405,,"HTML,CSS,JavaScript,Shell",JavaScript,"Preview,Production",,"cinema,javascript,movies,react,react-router",,True,62.0,102
To-Do-List-Webpack,Theophileaseh,"To do list project developed using Webpack, HTML, CSS and Javascript",https://github.com/Theophileaseh/To-Do-List-Webpack,2022-03-23,1,1,2,0,0,2,10,8437,,"HTML,JavaScript,CSS",JavaScript,github-pages,,to-do-list,,True,76.0,102
knitting-pattern,rubyspch,A website that allows a user to create a customized knitting pattern square.,https://github.com/rubyspch/knitting-pattern,2021-05-26,1,1,2,0,0,0,10,81,,"CSS,HTML,JavaScript",JavaScript,github-pages,,"knitting,javascript",,True,80.0,102
paws-and-beyond-Ecommerce,samyukthasudhakar,paws & beyond. is an e-commerce application focused on selling wide range of pet products. The app is built using React and MockBee.,https://github.com/samyukthasudhakar/paws-and-beyond-Ecommerce,2022-03-16,1,1,2,0,0,0,10,8599,,"HTML,CSS,JavaScript,Shell",JavaScript,,,"react,reactjs,html,css,javascript,ecommerce-website,webapp,projects,mockbee",,True,77.0,102
