name,owner,description,url,createdAt,users,watchers,stars,forks,projects,issues,pullRequests,diskUsage,license,languages,primaryLanguage,environments,submodules,topics,extra,popularity,commits,isApp
javascript_fundamentals_solutions,rithmschool,Solutions for our free JavaScript Fundamentals course,https://github.com/rithmschool/javascript_fundamentals_solutions,2016-05-16,2.0,3.0,18.0,18.0,0.0,1.0,2.0,2613.0,,JavaScript,JavaScript,,,,,40.0,,False
fluX.js,pd3v,A javascript engine for generative music in the browser.,https://github.com/pd3v/fluX.js,2018-01-21,1.0,3.0,38.0,2.0,0.0,0.0,0.0,39072.0,MIT,JavaScript,JavaScript,,,"web,api,webmidi,javascript-library,webaudio,generative-music,engine,music,sound",,40.0,,False
sukiyaki2,mil-tokyo,Deep Learning Library for JavaScript,https://github.com/mil-tokyo/sukiyaki2,2016-11-04,3.0,24.0,35.0,5.0,0.0,1.0,0.0,3421.0,NOASSERTION,"TypeScript,JavaScript,HTML,Shell,Python,Ruby,CSS",JavaScript,github-pages,,,,40.0,,False
bluemonday-js,mdp,The bluemonday sanitizer compiled to JavaScript,https://github.com/mdp/bluemonday-js,2015-11-05,1.0,4.0,38.0,2.0,0.0,0.0,0.0,164.0,,"Go,JavaScript,Makefile",JavaScript,,,,,40.0,,False
scorejs,danigb,Create musical scores with javascript,https://github.com/danigb/scorejs,2015-04-28,1.0,7.0,35.0,5.0,0.0,1.0,0.0,278.0,MIT,JavaScript,JavaScript,,,,,40.0,,False
array-sugar,capaj,Tired of not having a last property on array in Javascript? Tired of not having contains method? This little script solves those.,https://github.com/capaj/array-sugar,2013-10-05,1.0,3.0,22.0,2.0,0.0,1.0,4.0,33.0,MIT,JavaScript,JavaScript,,,,,40.0,,False
e-conom-site,DawnSee0823,"An e-commerce site is a platform that allows businesses to sell products or services online. It typically consists of various web pages and functionalities that enable users to browse, search, select, and purchase items.",https://github.com/DawnSee0823/e-conom-site,2023-02-16,1.0,2.0,12.0,3.0,0.0,0.0,5.0,1462.0,GPL-3.0,"HTML,CSS,JavaScript",JavaScript,,,"css-framework,ecommerce,firebase,javascript,nodejs,react,shopify,woocommerce",,40.0,,False
javascript-us,patsplat,NPM module of US states,https://github.com/patsplat/javascript-us,2014-01-11,1.0,1.0,24.0,7.0,0.0,0.0,3.0,22.0,BSD-3-Clause,JavaScript,JavaScript,,,,,40.0,,False
react-native-navigation-mobx-demo,pxue,React native Navigation with MobX demo. Blog post write up ->,https://github.com/pxue/react-native-navigation-mobx-demo,2017-04-10,1.0,2.0,32.0,8.0,0.0,5.0,0.0,109.0,,JavaScript,JavaScript,,,"react-native,react-navigation,javascript,mobx,mobx-react",,40.0,,True
rabbitmq-websocket,hzoboy,JavaScript连接rabbitmq,https://github.com/hzoboy/rabbitmq-websocket,2018-10-26,1.0,3.0,16.0,24.0,0.0,0.0,0.0,188.0,,"Java,HTML,JavaScript",JavaScript,,,,,40.0,,False
radiowave,xmppjs,Radiowave is a Jabber/XMPP server written in Javascript,https://github.com/xmppjs/radiowave,2015-05-02,6.0,10.0,35.0,5.0,0.0,2.0,0.0,1091.0,Apache-2.0,JavaScript,JavaScript,github-pages,,,,40.0,,False
note-app,hyoga-dev,note app that can fly,https://github.com/hyoga-dev/note-app,2022-10-13,1.0,1.0,40.0,0.0,0.0,0.0,0.0,4269.0,,"HTML,CSS,JavaScript",JavaScript,Production,,"noteapp,css,html,javascript,note",,40.0,,False
snake,CodingWith-Adam,Snake in javascript,https://github.com/CodingWith-Adam/snake,2020-10-19,1.0,1.0,16.0,24.0,0.0,0.0,0.0,140.0,,"HTML,JavaScript",JavaScript,github-pages,,,,40.0,,False
